FPS, FrameIndex, NumFramePresents, NumMisPresented, NumDroppedFrames, ReprojectionMotion, PredictedFrames, ThrottledFrames, SystemTimeInMs, PreSubmitGpuMs, PostSubmitGpuMs, TotalRenderGpuMs, CompositorRenderGpuMs, CompositorRenderCpuMs, CompositorIdleCpuMs, ClientFrameIntervalMs, WaitGetPosesCalledMs, NewPosesReadyMs, NewFrameReadyMs, CompositorUpdateStartMs, CompositorUpdateEndMs, CompositorRenderStartMs
52, 3720, 1, 0, 0, 1, 2, 0, 55523.9, 7.14301, 0.013536, 7.36378, 0.007232, 0.2976, 11.7406, 1.5769, -16.0282, -3.68671, -2.69561, -2.64541, -2.63131, -1.92991
53, 3721, 1, 0, 0, 1, 2, 0, 55537.9, 7.48144, 0.01344, 7.70227, 0.007392, 0.3019, 11.6352, 1.634, -15.9446, -3.71151, -2.56631, -2.52061, -2.51001, -1.86641
54, 3722, 1, 0, 0, 1, 2, 0, 55551.8, 7.2249, 0.013984, 7.44611, 0.007232, 0.2712, 11.7308, 1.7054, -15.8974, -3.72261, -2.58261, -2.56351, -2.55271, -1.93921
55, 3723, 1, 0, 0, 1, 2, 0, 55565.7, 7.13677, 0.013536, 7.3576, 0.007296, 0.3169, 11.8436, 1.6691, -15.9345, -3.72351, -2.64341, -2.62001, -2.60531, -2.03991
56, 3724, 1, 0, 0, 1, 2, 0, 55579.6, 7.14595, 0.013728, 7.36685, 0.007168, 0.2885, 11.6177, 1.5892, -16.0446, -3.69031, -2.51301, -2.49021, -2.47561, -1.77851
57, 3725, 1, 0, 0, 1, 2, 0, 55593.6, 7.15258, 0.013536, 7.37328, 0.007168, 0.2801, 12.0137, 1.8083, -15.7908, -3.69151, -2.70791, -2.68911, -2.67821, -2.10041
58, 3726, 1, 0, 0, 1, 2, 0, 55607.5, 7.17053, 0.013536, 7.39136, 0.007296, 0.3497, 11.8242, 1.4737, -16.1038, -3.63451, -2.57531, -2.55281, -2.53841, -1.93421
59, 3727, 1, 0, 0, 1, 2, 0, 55621.4, 7.17398, 0.013472, 7.39466, 0.0072, 0.3477, 11.214, 1.5785, -15.9429, -3.49301, -2.23511, -2.21371, -2.20111, -1.51451
60, 3728, 1, 0, 0, 1, 2, 0, 55635.3, 7.30851, 0.108192, 7.6239, 0.0072, 0.332, 11.7862, 1.8505, -15.5447, -3.62991, -2.62801, -2.58391, -2.56961, -1.92801
61, 3729, 1, 0, 0, 1, 2, 0, 55649.2, 7.14502, 0.01376, 7.36602, 0.007232, 0.4055, 11.5967, 1.5324, -15.9862, -3.62081, -2.58301, -2.56341, -2.55151, -1.86941
62, 3730, 1, 0, 0, 1, 2, 0, 55663.2, 7.12672, 0.013664, 7.34781, 0.007424, 0.3043, 11.9039, 1.624, -15.8846, -3.67091, -2.63011, -2.58631, -2.57511, -1.98221
63, 3731, 1, 0, 0, 1, 2, 0, 55677.1, 7.14205, 0.013472, 7.36269, 0.007168, 0.3404, 11.8288, 1.536, -16.0183, -3.59471, -2.62331, -2.58181, -2.57121, -2.01411
64, 3732, 1, 0, 0, 1, 2, 0, 55691, 7.12016, 0.013664, 7.34106, 0.007232, 0.3694, 11.4164, 1.4468, -16.0326, -3.63351, -2.45001, -2.39651, -2.38361, -1.70031
65, 3733, 1, 0, 0, 1, 2, 0, 55704.9, 7.44787, 0.013696, 7.66877, 0.0072, 0.341, 11.5634, 1.8295, -15.7135, -3.65261, -2.48061, -2.43151, -2.42081, -1.78371
66, 3734, 1, 0, 0, 1, 2, 0, 55718.9, 7.13552, 0.013664, 7.35658, 0.007392, 0.3087, 11.9251, 1.7788, -15.7909, -3.67971, -2.73931, -2.71851, -2.70601, -2.08831
